[Epoch 106/130] T-Loss: 0.3203 | T-Acc: 89.54% || V-Loss: 1.7541 | V-Acc: 63.00% | Time: 9104 ms
[Epoch 107/130] T-Loss: 0.3109 | T-Acc: 90.02% || V-Loss: 1.7924 | V-Acc: 62.44% | Time: 8827 ms
[Epoch 108/130] T-Loss: 0.3068 | T-Acc: 89.99% || V-Loss: 1.7607 | V-Acc: 63.49% | Time: 8950 ms
[Epoch 109/130] T-Loss: 0.3105 | T-Acc: 89.82% || V-Loss: 1.7965 | V-Acc: 63.19% | Time: 9001 ms
[Epoch 110/130] T-Loss: 0.2995 | T-Acc: 90.20% || V-Loss: 1.8010 | V-Acc: 63.32% | Time: 7865 ms
[Epoch 111/130] T-Loss: 0.3085 | T-Acc: 90.00% || V-Loss: 1.7931 | V-Acc: 62.91% | Time: 8635 ms
[Epoch 112/130] T-Loss: 0.2997 | T-Acc: 90.22% || V-Loss: 1.8440 | V-Acc: 62.81% | Time: 8842 ms
[Epoch 113/130] T-Loss: 0.2948 | T-Acc: 90.32% || V-Loss: 1.8133 | V-Acc: 62.03% | Time: 8872 ms
[Epoch 114/130] T-Loss: 0.3004 | T-Acc: 90.25% || V-Loss: 1.8179 | V-Acc: 62.08% | Time: 8568 ms
[Epoch 115/130] T-Loss: 0.3050 | T-Acc: 90.08% || V-Loss: 1.7948 | V-Acc: 62.90% | Time: 8551 ms
[Epoch 116/130] T-Loss: 0.2912 | T-Acc: 90.56% || V-Loss: 1.8624 | V-Acc: 62.49% | Time: 7883 ms
[Epoch 117/130] T-Loss: 0.2971 | T-Acc: 90.46% || V-Loss: 1.8394 | V-Acc: 62.52% | Time: 8163 ms
[Epoch 118/130] T-Loss: 0.2936 | T-Acc: 90.40% || V-Loss: 1.8857 | V-Acc: 62.55% | Time: 8920 ms
[Epoch 119/130] T-Loss: 0.2866 | T-Acc: 90.70% || V-Loss: 1.8311 | V-Acc: 62.47% | Time: 7847 ms
[Epoch 120/130] T-Loss: 0.2936 | T-Acc: 90.70% || V-Loss: 1.8571 | V-Acc: 62.99% | Time: 7684 ms

[Scheduler] Learning Rate decayed to: 0.000125
[Epoch 121/130] T-Loss: 0.2484 | T-Acc: 92.30% || V-Loss: 1.8743 | V-Acc: 63.22% | Time: 7703 ms
[Epoch 122/130] T-Loss: 0.2406 | T-Acc: 92.53% || V-Loss: 1.8750 | V-Acc: 63.95% | Time: 7716 ms
[Epoch 123/130] T-Loss: 0.2411 | T-Acc: 92.59% || V-Loss: 1.9090 | V-Acc: 63.15% | Time: 7732 ms
[Epoch 124/130] T-Loss: 0.2334 | T-Acc: 92.86% || V-Loss: 1.9188 | V-Acc: 63.12% | Time: 7682 ms
[Epoch 125/130] T-Loss: 0.2387 | T-Acc: 92.49% || V-Loss: 1.9210 | V-Acc: 63.26% | Time: 7758 ms
[Epoch 126/130] T-Loss: 0.2350 | T-Acc: 92.77% || V-Loss: 1.9740 | V-Acc: 63.04% | Time: 7714 ms
[Epoch 127/130] T-Loss: 0.2375 | T-Acc: 92.80% || V-Loss: 1.9245 | V-Acc: 63.28% | Time: 7711 ms
[Epoch 128/130] T-Loss: 0.2296 | T-Acc: 93.06% || V-Loss: 1.9190 | V-Acc: 63.09% | Time: 7700 ms
[Epoch 129/130] T-Loss: 0.2225 | T-Acc: 93.15% || V-Loss: 1.9413 | V-Acc: 63.03% | Time: 7693 ms
[Epoch 130/130] T-Loss: 0.2275 | T-Acc: 93.08% || V-Loss: 1.9828 | V-Acc: 62.78% | Time: 7699 ms
Time: 1087 s
